Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName,SequencingEnabled,FacetableMultiSelect
EMR Max Ambient Temperature,STRING,2,2152,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Ambient Temperature,EMR Max Ambient Temperature,,,,,,EMR,Max Ambient Temperature,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Clamping Force,STRING,2,2153,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Clamping Force,EMR Max Clamping Force,,,,,,EMR,Max Clamping Force,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Inlet Pressure,STRING,2,2155,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Inlet Pressure,EMR Max Inlet Pressure,,,,,,EMR,Max Inlet Pressure,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Air,STRING,2,2156,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Air),EMR Max Operating Press Air,,,,,,EMR,Max Operating Press. (Air),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Light Oil,STRING,2,2157,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Light Oil),EMR Max Operating Press Light Oil,,,,,,EMR,Max Operating Press. (Light Oil),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Max Operating Press Water,STRING,2,2158,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Water),EMR Max Operating Press Water,,,,,,EMR,Max Operating Press. (Water),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Max Operating Pressure PSI,STRING,1,2159,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Max Operating Pressure (PSI),EMR Max Operating Pressure PSI,,,,,,EMR,Max Operating Pressure (PSI),TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Max Operating Pressure PSI Lookup Table,TRUE,TRUE
EMR Max Outlet Pressure,STRING,1,2160,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Max Outlet Pressure,EMR Max Outlet Pressure,,,,,,EMR,Max Outlet Pressure,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Max Outlet Pressure Lookup Table,TRUE,TRUE
EMR Measurement Type,STRING,2,2161,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Measurement Type,EMR Measurement Type,,,,,,EMR,Measurement Type,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Measuring range,STRING,1,2162,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Measuring range,EMR Measuring range,,,,,,EMR,Measuring range,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Measuring Range Lookup Table,TRUE,TRUE
EMR Media,STRING,1,2163,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Media,EMR Media,,,,,,EMR,Media,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Media Lookup Table,TRUE,TRUE
EMR Min Ambient Temperature,STRING,2,2164,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Ambient Temperature,EMR Min Ambient Temperature,,,,,,EMR,Min Ambient Temperature,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Air,STRING,2,2166,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Air),EMR Min Operating Press Air,,,,,,EMR,Min Operating Press. (Air),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Min Operating Press Light Oil,STRING,2,2167,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Light Oil),EMR Min Operating Press Light Oil,,,,,,EMR,Min Operating Press. (Light Oil),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Min Operating Press Water,STRING,2,2168,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Water),EMR Min Operating Press Water,,,,,,EMR,Min Operating Press. (Water),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Min Operating Pressure PSI,STRING,2,2169,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Pressure (PSI),EMR Min Operating Pressure PSI,,,,,,EMR,Min Operating Pressure (PSI),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Modes of Protection,STRING,2,2170,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Protection,EMR Modes of Protection,,,,,,EMR,Protection,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Mounting,STRING,2,2171,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Mounting,EMR Mounting,,,,,,EMR,Mounting,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Mounting Type,STRING,1,2173,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Mounting Type,EMR Mounting Type,,,,,,EMR,Mounting Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Mounting Type Lookup Table,TRUE,TRUE
EMR Number of Phases,STRING,2,2183,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Number of Phases,EMR Number of Phases,,,,,,EMR,Number of Phases,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Number of Poles,STRING,1,2185,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Number of Poles,EMR Number of Poles,,,,,,EMR,Number of Poles,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Number of Poles Lookup Table,TRUE,FALSE
EMR Number of Wires,STRING,1,2186,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Number of Wires,EMR Number of Wires,,,,,,EMR,Number of Wires,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Number of Wires Lookup Table,TRUE,TRUE
EMR Opening Style,STRING,2,2190,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Opening Style,EMR Opening Style,,,,,,EMR,Opening Style,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Operating Pressure,STRING,1,2193,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Operating Pressure,EMR Operating Pressure,,,,,,EMR,Operating Pressure,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Operating Pressure Lookup Table,TRUE,TRUE
EMR Operating Temperature,STRING,1,2195,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Operating Temperature,EMR Operating Temperature,,,,,,EMR,Operating Temperature,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Operating Temperature Lookup Table,TRUE,TRUE
EMR Operating Voltage,STRING,2,2196,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Operating Voltage,EMR Operating Voltage,,,,,,EMR,Operating Voltage,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Output Power,STRING,2,2199,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Output Power,EMR Output Power,,,,,,EMR,Output Power,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Output Signal,STRING,1,2201,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Output Signal,EMR Output Signal,,,,,,EMR,Output Signal,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Output Signal Lookup Table,TRUE,TRUE
EMR Output Variables,STRING,1,2202,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Output Variables,EMR Output Variables,,,,,,EMR,Output Variables,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Output Variables Lookup Table,TRUE,TRUE
EMR Output Voltage Range,STRING,2,2203,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Output Voltage Range,EMR Output Voltage Range,,,,,,EMR,Output Voltage Range,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Overall Dimensions,STRING,2,2204,TRUE,TRUE,FALSE,TRUE,,FALSE,,,,-1,Overall Dimensions,EMR Overall Dimensions,,,,,,EMR,Overall Dimensions,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR PDP Format,STRING,1,2206,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,PDP Format,EMR PDP Format,,,,,,EMR,PDP Format,FALSE,1,,50,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Peak Horsepower,STRING,2,2210,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Peak Horsepower,EMR Peak Horsepower,,,,,,EMR,Peak Horsepower,FALSE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Phases,STRING,1,2211,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Phases,EMR Phases,,,,,,EMR,Phases,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Phase Lookup Table,TRUE,TRUE
EMR Pipe Port Size,STRING,1,2213,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Pipe/Port Size,EMR Pipe Port Size,,,,,,EMR,Pipe/Port Size,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Pipe Port Size Lookup Table,TRUE,TRUE
EMR Platform,STRING,1,2215,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,-1,Platform,EMR Platform,,,,,,EMR,Platform,TRUE,2,1,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,Platform Attribute Lookup Table,TRUE,TRUE
EMR Position Control,STRING,1,2220,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Position Control,EMR Position Control,,,,,,EMR,Position Control,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Position Control Lookup Table,TRUE,TRUE
EMR Power Source,STRING,1,2224,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Power Source,EMR Power Source,,,,,,EMR,Power Source,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Power Source Lookup Table,TRUE,TRUE
EMR Pressure Class,STRING,1,2225,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Pressure Class,EMR Pressure Class,,,,,,EMR,Pressure Class,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Pressure Class Lookup Table,TRUE,TRUE
EMR Process Connection Type,STRING,1,2228,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Process Connection Type,EMR Process Connection Type,,,,,,EMR,Process Connection Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Process Connection Type Lookup Table,TRUE,TRUE
EMR Process Control,STRING,1,2229,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Process Control,EMR Process Control,,,,,,EMR,Process Control,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Process Control Lookup Table,TRUE,TRUE
EMR Product Service Key,STRING,2,2231,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Product Service Keys,EMR Product Service Key,,,,,,EMR,Product Service Keys,FALSE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Product Status,STRING,1,2232,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Product Status,EMR Product Status,,,,,,EMR,Product Status,FALSE,1,1,50,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Product Type,STRING,1,2233,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,-1,Product Type,EMR Product Type,,,,,,EMR,Product Type,TRUE,50,,80,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,ProductType Attribute Lookup Table,TRUE,TRUE
EMR Product Weight,STRING,2,2234,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Product Weight,EMR Product Weight,,,,,,EMR,Product Weight,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Program Style,STRING,2,2235,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Program Style,EMR Program Style,,,,,,EMR,Program Style,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Rating,STRING,2,2239,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Rating,EMR Rating,,,,,,EMR,Rating,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Refrigerant Type,STRING,1,2243,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Refrigerant,EMR Refrigerant Type,,,,,,EMR,Refrigerant,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Refrigerant Type Lookup Table,TRUE,TRUE
EMR Region,STRING,1,2244,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Region,EMR Region,,,,,,EMR,Region,FALSE,50,1,50,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Regulator Adjustment Range,STRING,2,2245,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Regulator Adjustment Range,EMR Regulator Adjustment Range,,,,,,EMR,Regulator Adjustment Range,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Regulator Setting,STRING,2,2246,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Regulator Setting,EMR Regulator Setting,,,,,,EMR,Regulator Setting,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Response Time,STRING,2,2248,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Response Time,EMR Response Time,,,,,,EMR,Response Time,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Safety Certification,STRING,1,2251,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Safety Certification,EMR Safety Certification,,,,,,EMR,Safety Certification,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Safety Certification Lookup Table,TRUE,TRUE
EMR Seat Seal Type,STRING,1,2252,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Seat / Seal Type,EMR Seat Seal Type,,,,,,EMR,Seat / Seal Type,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Seat Seal Type Lookup Table,TRUE,TRUE
EMR Segment,STRING,1,2254,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,-1,Segment,EMR Segment,,,,,,EMR,Segment,TRUE,50,,500,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,Segment Attribute Lookup Table,TRUE,TRUE
EMR Sensor Type,STRING,2,2255,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Sensor Type,EMR Sensor Type,,,,,,EMR,Sensor Type,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Shipping Weight,STRING,2,2258,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Shipping Weight,EMR Shipping Weight,,,,,,EMR,Shipping Weight,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Shutoff Class,STRING,1,2259,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Shutoff Class,EMR Shutoff Class,,,,,,EMR,Shutoff Class,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Shutoff Class Lookup Table,TRUE,TRUE
EMR Side Taps,STRING,1,2260,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Side Taps,EMR Side Taps,,,,,,EMR,Side Taps,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Side Taps Lookup Table,TRUE,TRUE
EMR Special Feature,STRING,2,2262,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Special Feature,EMR Special Feature,,,,,,EMR,Special Feature,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Speed Range,STRING,2,2263,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Speed Range,EMR Speed Range,,,,,,EMR,Speed Range,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Stages,STRING,2,2264,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Stages,EMR Stages,,,,,,EMR,Stages,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Standards,STRING,1,2265,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Standards,EMR Standards,,,,,,EMR,Standards,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Standards Lookup Table,TRUE,TRUE
EMR Status Indicator,STRING,2,2268,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Status Indicator,EMR Status Indicator,,,,,,EMR,Status Indicator,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Stem,STRING,1,2269,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Stem,EMR Stem,,,,,,EMR,Stem,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Stem Lookup Table,TRUE,TRUE
EMR Stroke Length,STRING,2,2270,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Stroke Length,EMR Stroke Length,,,,,,EMR,Stroke Length,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Style,STRING,1,2271,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Style,EMR Style,,,,,,EMR,Style,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Style Lookup Table,TRUE,TRUE
EMR Supply Media,STRING,1,2272,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Supply Media,EMR Supply Media,,,,,,EMR,Supply Media,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Supply Media Lookup Table,TRUE,TRUE
EMR Switch Type,STRING,1,2276,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Switch Type,EMR Switch Type,,,,,,EMR,Switch Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Switch Type Lookup Table,TRUE,TRUE
EMR TabSequence,STRING,1,2278,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,TabSequence,EMR TabSequence,,,,,,EMR,TabSequence,FALSE,50,1,2000,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Tank Capacity,STRING,2,2279,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Tank Capacity,EMR Tank Capacity,,,,,,EMR,Tank Capacity,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Technology Type,STRING,1,2280,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Technology,EMR Technology Type,,,,,,EMR,Technology,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,TechnologyType Attribute Lookup Table,TRUE,TRUE
EMR Tube Diameter,STRING,2,2287,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Tube Diameter,EMR Tube Diameter,,,,,,EMR,Tube Diameter,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Type of Cable,STRING,2,2289,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Type of Cable,EMR Type of Cable,,,,,,EMR,Type of Cable,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR UL Recognized,STRING,1,2294,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,UL Recognized,EMR UL Recognized,,,,,,EMR,UL Recognized,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,UL Recognized Lookup Table,TRUE,TRUE
EMR UL listed,STRING,1,2295,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,UL listed,EMR UL listed,,,,,,EMR,UL listed,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,UL listed Lookup Table,TRUE,TRUE
EMR Universal,STRING,1,2296,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Universal,EMR Universal,,,,,,EMR,Universal,TRUE,1,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Universal Lookup Table,TRUE,TRUE
EMR User Interface,STRING,1,2299,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,User Interface,EMR User Interface,,,,,,EMR,User Interface,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,User Interface Lookup Table,TRUE,TRUE
EMR Valve Size,STRING,1,2300,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Valve Size,EMR Valve Size,,,,,,EMR,Valve Size,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Valve Size Lookup Table,TRUE,TRUE
EMR Valve Size Standard,STRING,1,2301,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Valve Size Standard,EMR Valve Size Standard,,,,,,EMR,Valve Size Standard,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Valve Size Standard Lookup Table,TRUE,TRUE
EMR Valve Type,STRING,1,2302,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Valve Type,EMR Valve Type,,,,,,EMR,Valve Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Valve Type Lookup Table,TRUE,TRUE
EMR Voltage,STRING,1,2304,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Voltage,EMR Voltage,,,,,,EMR,Voltage,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Voltage Lookup Table,TRUE,TRUE
EMR Wattage,STRING,2,2307,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Wattage,EMR Wattage,,,,,,EMR,Wattage,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR End Connection,STRING,1,2317,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,End Connection,EMR End Connection,,,,,,EMR,End Connection,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,End Connection Attribute Lookup Table,TRUE,FALSE
EMR Display Type,STRING,2,2320,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Display Type,EMR Display Type,,,,,,EMR,Display Type,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Wi Fi Connected,STRING,1,2321,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Wi-Fi Connected,EMR Wi Fi Connected,,,,,,EMR,Wi-Fi Connected,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Wi-Fi Connected Lookup Table,TRUE,TRUE
EMR Dishwasher Drain Connection,STRING,2,2330,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Dishwasher Drain Connection,EMR Dishwasher Drain Connection,,,,,,EMR,Dishwasher Drain Connection,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Required Hole Diameter,STRING,2,2334,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Required Hole Diameter,EMR Required Hole Diameter,,,,,,EMR,Required Hole Diameter,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
